"No.","Time","Source","Destination","Protocol","Length","Info"
"9114","2549.573118","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=261, Time=166400 Frames=5"
"9115","2549.579180","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9116","2549.593293","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=262, Time=167040 Frames=5"
"9117","2549.593438","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=263, Time=167680 Frames=5"
"9118","2549.602819","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9119","2549.604008","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9120","2549.613093","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=264, Time=168320 Frames=5"
"9121","2549.618907","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9122","2549.633102","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=265, Time=168960 Frames=5"
"9123","2549.639104","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9124","2549.653596","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=266, Time=169600 Frames=5"
"9125","2549.653837","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=267, Time=170240 Frames=5"
"9126","2549.660287","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9127","2549.665175","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9128","2549.673092","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=268, Time=170880 Frames=5"
"9129","2549.678931","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9130","2549.693468","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=269, Time=171520 Frames=5"
"9131","2549.693637","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=270, Time=172160 Frames=5"
"9132","2549.701428","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9133","2549.702691","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9134","2549.712913","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=271, Time=172800 Frames=5"
"9135","2549.719035","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9136","2549.733068","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=272, Time=173440 Frames=5"
"9137","2549.739054","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9138","2549.754223","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=273, Time=174080 Frames=5"
