"
2017-01-03 17:13:59.516710 ," HCI Event: Command Complete (0x0e) plen 4     Write Page Scan Type (0x03|0x0047) ncmd 1 
"
2017-01-03 17:13:59.516832 ," HCI Command: Write Inquiry Scan Type (0x03|0x0043) plen 1     type 1 
"
2017-01-03 17:13:59.518155 ," HCI Event: Command Complete (0x0e) plen 4     Write Inquiry Scan Type (0x03|0x0043) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.518271 ," HCI Command: Write Class of Device (0x03|0x0024) plen 3     class 0x5a020c 
"
2017-01-03 17:13:59.518753 ," HCI Event: Command Complete (0x0e) plen 4     Write Class of Device (0x03|0x0024) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.518844 ," HCI Command: Write Page Timeout (0x03|0x0018) plen 2     timeout 8192 
"
2017-01-03 17:13:59.520104 ," HCI Event: Command Complete (0x0e) plen 4     Write Page Timeout (0x03|0x0018) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.520193 ," HCI Command: Write Default Link Policy Settings (0x02|0x000f) plen 2     policy 0x07     Link policy: RSWITCH HOLD SNIFF  
"
2017-01-03 17:13:59.520643 ," HCI Event: Command Complete (0x0e) plen 4     Write Default Link Policy Settings (0x02|0x000f) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.520729 ," HCI Command: Vendor (0x3f|0x0153) plen 0 
"
2017-01-03 17:13:59.521974 ," HCI Event: Command Complete (0x0e) plen 12     Vendor (0x3f|0x0153) ncmd 1 
"
2017-01-03 17:13:59.523027 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.523124 ," HCI Command: Read Local Name (0x03|0x0014) plen 0 
"
2017-01-03 17:13:59.526143 ," HCI Event: Command Complete (0x0e) plen 252     Read Local Name (0x03|0x0014) ncmd 1     status 0x00 name '' 
"
2017-01-03 17:13:59.529276 ," HCI Command: Vendor (0x3f|0x0155) plen 1 
"
2017-01-03 17:13:59.532227 ," HCI Event: Command Complete (0x0e) plen 6     Vendor (0x3f|0x0155) ncmd 1 
"
2017-01-03 17:13:59.532424 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.532492 ," HCI Command: Write Local Name (0x03|0x0013) plen 248     name 'LG K10' 
"
2017-01-03 17:13:59.534269 ," HCI Event: Command Complete (0x0e) plen 4     Write Local Name (0x03|0x0013) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.534434 ," HCI Command: Write Extended Inquiry Response (0x03|0x0052) plen 241     fec 0x01     Complete local name: 'LG K10'     Complete service classes:     Unknown type 0x05 with 0 bytes data     Unknown type 0x07 with 0 bytes data 
"
2017-01-03 17:13:59.536132 ," HCI Event: Command Complete (0x0e) plen 4     Write Extended Inquiry Response (0x03|0x0052) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.536324 ," HCI Command: LE Rand (0x08|0x0018) plen 0 
"
2017-01-03 17:13:59.542603 ," HCI Event: Command Complete (0x0e) plen 12     LE Rand (0x08|0x0018) ncmd 1 
"
2017-01-03 17:13:59.542825 ," HCI Command: LE Rand (0x08|0x0018) plen 0 
"
2017-01-03 17:13:59.548579 ," HCI Event: Command Complete (0x0e) plen 12     LE Rand (0x08|0x0018) ncmd 1 
"
2017-01-03 17:13:59.549343 ," HCI Command: LE Rand (0x08|0x0018) plen 0 
"
2017-01-03 17:13:59.559490 ," HCI Event: Command Complete (0x0e) plen 12     LE Rand (0x08|0x0018) ncmd 1 
"
2017-01-03 17:13:59.559768 ," HCI Command: LE Rand (0x08|0x0018) plen 0 
"
2017-01-03 17:13:59.567619 ," HCI Event: Command Complete (0x0e) plen 12     LE Rand (0x08|0x0018) ncmd 1 
"
2017-01-03 17:13:59.567902 ," HCI Command: LE Rand (0x08|0x0018) plen 0 
"
2017-01-03 17:13:59.575141 ," HCI Event: Command Complete (0x0e) plen 12     LE Rand (0x08|0x0018) ncmd 1 
"
2017-01-03 17:13:59.575472 ," HCI Command: LE Rand (0x08|0x0018) plen 0 
"
2017-01-03 17:13:59.585092 ," HCI Event: Command Complete (0x0e) plen 12     LE Rand (0x08|0x0018) ncmd 1 
"
2017-01-03 17:13:59.585288 ," HCI Command: LE Rand (0x08|0x0018) plen 0 
"
2017-01-03 17:13:59.592304 ," HCI Event: Command Complete (0x0e) plen 12     LE Rand (0x08|0x0018) ncmd 1 
"
2017-01-03 17:13:59.592442 ," HCI Command: LE Rand (0x08|0x0018) plen 0 
"
2017-01-03 17:13:59.598021 ," HCI Event: Command Complete (0x0e) plen 12     LE Rand (0x08|0x0018) ncmd 1 
"
2017-01-03 17:13:59.598242 ," HCI Command: LE Rand (0x08|0x0018) plen 0 
"
2017-01-03 17:13:59.603972 ," HCI Event: Command Complete (0x0e) plen 12     LE Rand (0x08|0x0018) ncmd 1 
"
2017-01-03 17:13:59.604147 ," HCI Command: LE Rand (0x08|0x0018) plen 0 
"
2017-01-03 17:13:59.610011 ," HCI Event: Command Complete (0x0e) plen 12     LE Rand (0x08|0x0018) ncmd 1 
"
2017-01-03 17:13:59.610348 ," HCI Command: LE Set Random Address (0x08|0x0005) plen 6     bdaddr 4B:32:71:BC:45:5F 
"
2017-01-03 17:13:59.612745 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Random Address (0x08|0x0005) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.612973 ," HCI Command: Vendor (0x3f|0x0154) plen 8 
"
2017-01-03 17:13:59.613969 ," HCI Event: Command Complete (0x0e) plen 5     Vendor (0x3f|0x0154) ncmd 1 
"
2017-01-03 17:13:59.614131 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.614197 ," HCI Command: Vendor (0x3f|0x0154) plen 8 
"
2017-01-03 17:13:59.615008 ," HCI Event: Command Complete (0x0e) plen 5     Vendor (0x3f|0x0154) ncmd 1 
"
2017-01-03 17:13:59.615208 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.615282 ," HCI Command: Vendor (0x3f|0x0154) plen 8 
"
2017-01-03 17:13:59.616978 ," HCI Event: Command Complete (0x0e) plen 5     Vendor (0x3f|0x0154) ncmd 1 
"
2017-01-03 17:13:59.617160 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.617233 ," HCI Command: Vendor (0x3f|0x0154) plen 8 
"
2017-01-03 17:13:59.618107 ," HCI Event: Command Complete (0x0e) plen 5     Vendor (0x3f|0x0154) ncmd 1 
"
2017-01-03 17:13:59.618257 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.618321 ," HCI Command: Vendor (0x3f|0x0154) plen 8 
"
2017-01-03 17:13:59.618988 ," HCI Event: Command Complete (0x0e) plen 5     Vendor (0x3f|0x0154) ncmd 1 
"
2017-01-03 17:13:59.619191 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.619253 ," HCI Command: Vendor (0x3f|0x0154) plen 8 
"
2017-01-03 17:13:59.621014 ," HCI Event: Command Complete (0x0e) plen 5     Vendor (0x3f|0x0154) ncmd 1 
"
2017-01-03 17:13:59.621173 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.621243 ," HCI Command: Vendor (0x3f|0x0154) plen 8 
